ISO Code,Total children 7-17 years,Total adults from 18 years,Fraction children 7-17 years,Fraction adults from 18 years
AT,936141,7388778,0.104799755,0.827163990
BE,1464265,9233555,0.126723888,0.799112176
BG,741697,5726002,0.107235141,0.827869914
CH,940519,7114731,0.108475947,0.820586485
CY,104847,724531,0.117015827,0.808622031
CZ,1201494,8513691,0.114484304,0.811226683
DE,8214465,69411087,0.098784943,0.834719032
DK,724341,4687050,0.124030037,0.802570871
EE,159513,1071841,0.119928455,0.805854287
GR,1189218,8841684,0.111364265,0.827979089
ES,5422575,39156568,0.114403466,0.826110677
FI,678175,4492267,0.122551566,0.811788045
FR,9274769,53179816,0.137085780,0.786024594
HR,436229,3344506,0.108074983,0.828595602
HU,1050174,8024087,0.107922989,0.824609497
IE,760790,3811534,0.151965794,0.761343852
IS,51742,286356,0.140301308,0.776470205
IT,6140254,49885100,0.103657099,0.842138575
LI,4241,32196,0.108590449,0.824375880
LT,298175,2297362,0.106655626,0.821754278
LU,74008,513736,0.116597608,0.809377216
LV,216165,1534689,0.114178309,0.810622415
MT,48999,433970,0.094940903,0.840864174
NL,2098053,14164193,0.120057406,0.810521124
NO,706890,4279679,0.131115121,0.793801908
PL,4264667,30917547,0.112702613,0.817059889
PT,1094093,8596565,0.106240651,0.834759627
RO,2241916,15550331,0.116756352,0.809842971
SE,1346417,8189892,0.129721431,0.789060529
SI,232411,1734767,0.110200822,0.822563262
SK,618361,4431608,0.113257473,0.811682373
TR,13946762,60863705,0.166798642,0.727909698
