ISO Code,All-cause mortality rate,All-cause YLL,IHD Incidence rate,IHD YLD,CVD Incidence rate,CVD YLD,Diabetes Type 2 Incidence rate,Diabetes Type 2 YLD
AT,0.0087674,0.1316422,0.0042335,0.0011051,0.0120707,0.0065827,0.0032021,0.0057290
BE,0.0093212,0.1391104,0.0038088,0.0011312,0.0101796,0.0052410,0.0031021,0.0062423
BG,0.0174096,0.3151997,0.0068656,0.0016574,0.0165589,0.0108028,0.0031021,0.0062423
CH,0.0074679,0.1072588,0.0033905,0.0008224,0.0095092,0.0043332,0.0032844,0.0055253
CY,0.0062163,0.1051628,0.0019063,0.0007401,0.0071569,0.0036821,0.0045452,0.0064284
CZ,0.0101748,0.1699571,0.0069247,0.0019984,0.0144155,0.0087499,0.0063350,0.0141876
DE,0.0108355,0.1631802,0.0054024,0.0011479,0.0126052,0.0064903,0.0050876,0.0086950
DK,0.0091417,0.1469670,0.0039090,0.0007462,0.0112283,0.0045246,0.0027375,0.0040608
EE,0.0115718,0.1965455,0.0121534,0.0016340,0.0195003,0.0072761,0.0023565,0.0056332
GR,0.0120714,0.1727592,0.0043642,0.0011615,0.0120134,0.0058034,0.0032427,0.0070265
ES,0.0089611,0.1285056,0.0036143,0.0008779,0.0099342,0.0049841,0.0042571,0.0081540
FI,0.0095720,0.1446333,0.0053601,0.0012892,0.0129181,0.0063202,0.0040099,0.0078205
FR,0.0084159,0.1243672,0.0034331,0.0008650,0.0095256,0.0053763,0.0019857,0.0029721
HR,0.0116664,0.1910702,0.0050724,0.0017284,0.0129233,0.0077567,0.0043931,0.0095895
HU,0.0127051,0.2282332,0.0064512,0.0016396,0.0151885,0.0088816,0.0043135,0.0095122
IE,0.0063401,0.1049722,0.0029525,0.0007209,0.0080928,0.0037822,0.0028816,0.0043619
IS,0.0058058,0.0910719,0.0034056,0.0008492,0.0085103,0.0040117,0.0028198,0.0046217
IT,0.0102218,0.1433480,0.0053031,0.0011863,0.0145804,0.0066603,0.0044941,0.0082556
LI,No data,No data,No data,No data,No data,No data,No data,No data
LT,0.0128871,0.2241145,0.0092491,0.0017635,0.0178478,0.0085777,0.0018921,0.0045538
LU,0.0062848,0.1017047,0.0023098,0.0009557,0.0080667,0.0049161,0.0047425,0.0071563
LV,0.0135493,0.2376396,0.0092747,0.0019247,0.0182057,0.0088841,0.0024235,0.0059373
MT,0.0082965,0.1321944,0.0030372,0.0013570,0.0102802,0.0055890,0.0046950,0.0082777
NL,0.0086989,0.1360045,0.0049707,0.0009285,0.0112889,0.0048188,0.0026711,0.0048807
NO,0.0072824,0.1092313,0.0031805,0.0010581,0.0102694,0.0057983,0.0033583,0.0056162
PL,0.0100230,0.1811692,0.0022312,0.0017409,0.0089605,0.0077612,0.0038630,0.0086135
PT,0.0104685,0.1546038,0.0018087,0.0008933,0.0090242,0.0056258,0.0050529,0.0091548
RO,0.0131547,0.2396142,0.0056941,0.0015964,0.0142684,0.0090482,0.0027424,0.0063044
SE,0.0087175,0.1242747,0.0037646,0.0017728,0.0111591,0.0078736,0.0030412,0.0049843
SI,0.0093576,0.1470774,0.0052611,0.0016343,0.0126488,0.0073922,0.0034237,0.0075853
SK,0.0095253,0.1778753,0.0048896,0.0015642,0.0114306,0.0078732,0.0032411,0.0066186
TR,0.0053161,0.1157451,0.0034589,0.0007216,0.0070651,0.0039840,0.0031749,0.0051644
