country_code;ADHD_(5-9 years);ADHD_(10-14 years);ADHD_(15-19 years);Conduct disorder_(5-9 years);Conduct disorder_(10-14 years);Conduct disorder_(15-19 years);Overweight_(5-9 years);Overweight_(10-19 years)
AT;0.033307;0.042156;0.030648;0.014877;0.035480;0.021621;0.281;0.258
BE;0.028068;0.035548;0.025332;0.015659;0.037192;0.022363;0.255;0.231
BG;0.018129;0.024650;0.020346;0.011097;0.034176;0.019094;0.312;0.271
CH;0.034179;0.043461;0.031677;0.015685;0.037229;0.022456;0.230;0.212
CY;0.028278;0.035781;0.025439;0.015742;0.037304;0.022424;0.366;0.315
CZ;0.018098;0.024610;0.020325;0.011084;0.034148;0.019081;NA;NA
DE;0.014479;0.018076;0.012241;0.015695;0.037252;0.022539;0.287;0.253
DK;0.026672;0.033824;0.024162;0.015676;0.037205;0.022376;0.276;0.238
EE;0.018099;0.024645;0.020303;0.011084;0.034172;0.019068;0.228;0.194
EL;0.028066;0.035515;0.025323;0.015658;0.037176;0.022358;0.410;0.353
ES;0.061190;0.077289;0.056585;0.015692;0.037220;0.022390;0.379;0.319
FI;0.035280;0.044748;0.032565;0.015658;0.037177;0.022393;0.295;0.254
FR;0.034327;0.041284;0.027266;0.015661;0.037183;0.022384;0.324;0.289
HR;0.018128;0.024647;0.020310;0.011097;0.034173;0.019071;0.319;0.257
HU;0.018117;0.024630;0.020329;0.011092;0.034162;0.019084;0.314;0.269
IE;0.036958;0.047088;0.034345;0.015650;0.037197;0.022349;0.339;0.294
IS;0.032419;0.041289;0.029644;0.015652;0.037230;0.022262;0.309;0.270
IT;0.024249;0.032028;0.024305;0.015297;0.039955;0.023707;0.420;0.342
