iso_code;ADHD_(5-9 years);ADHD_(10-14 years);ADHD_(15-19 years);Conduct disorder_(5-9 years);Conduct disorder_(10-14 years);Conduct disorder_(15-19 years)
AT;0.000413;0.000520;0.000373;0.001838;0.004351;0.002610
BE;0.000348;0.000437;0.000309;0.001934;0.004553;0.002711
BG;0.000223;0.000302;0.000247;0.001371;0.004211;0.002318
CH;0.000422;0.000534;0.000387;0.001943;0.004558;0.002698
CY;0.000351;0.000440;0.000310;0.001944;0.004568;0.002713
CZ;0.000223;0.000300;0.000249;0.001378;0.004207;0.002320
DE;0.000179;0.000221;0.000149;0.001938;0.004561;0.002722
DK;0.000330;0.000414;0.000295;0.001930;0.004563;0.002706
EE;0.000223;0.000303;0.000249;0.001376;0.004216;0.002321
EL;0.000346;0.000436;0.000308;0.001933;0.004550;0.002699
ES;0.000755;0.000950;0.000689;0.001949;0.004561;0.002703
FI;0.000435;0.000548;0.000396;0.001938;0.004547;0.002702
FR;0.000425;0.000504;0.000332;0.001924;0.004547;0.002693
HR;0.000224;0.000303;0.000247;0.001381;0.004203;0.002314
HU;0.000224;0.000302;0.000250;0.001365;0.004196;0.002318
IE;0.000458;0.000575;0.000418;0.001926;0.004562;0.002687
IS;0.000400;0.000507;0.000360;0.001940;0.004559;0.002698
IT;0.000300;0.000393;0.000297;0.001893;0.004892;0.002861
LT;0.000223;0.000302;0.000248;0.001374;0.004196;0.002321
LU;0.000348;0.000438;0.000311;0.001947;0.004577;0.002703
LV;0.000224;0.000304;0.000249;0.001375;0.004204;0.002320
MT;0.000349;0.000439;0.000308;0.001940;0.004571;0.002693
NL;0.000410;0.000518;0.000365;0.001809;0.004367;0.002576
NO;0.000245;0.000322;0.000243;0.001782;0.004726;0.002738
PL;0.000227;0.000312;0.000264;0.001436;0.004598;0.002493
PT;0.000346;0.000436;0.000308;0.001935;0.004538;0.002697
RO;0.000225;0.000304;0.000250;0.001376;0.004190;0.002323
SE;0.000283;0.000382;0.000305;0.001890;0.004889;0.002860
SI;0.000223;0.000303;0.000249;0.001365;0.004200;0.002329
SK;0.000223;0.000304;0.000249;0.001380;0.004210;0.002316
