"Threshold";"year_end";"country";"geo";"noise_source";"mapping_extend";"agglomeration";"location";"inhabitants_lden_gf";"inhabitants_lnight_gf";"x_s_annoy_18";"x_h_sleepd";"x_all_nat_mort";"x_CVD";"x_diabetes";"s_annoy_yld_0011";"h_sleepd_yld_0010";"x_CVD_yld";"x_diab_yld";"x_mort_yll";"location_or_all";"name_stadt_gemeinde"
"END";"2022";"Germany";"DE";"road";"major sources";"outside agglomerations";"all";"6883100";"4286500";"977241";"233024";"3275";"2621";"998";"10750";"2330";"1735";"1690";"52565";"all Germany";"all"
"END";"2022";"Germany";"DE";"rail";"major sources";"outside agglomerations";"all";"1239500";"943900";"189559";"88370";"570";"456";"174";"2085";"884";"302";"294";"9152";"all Germany";"all"
"END";"2022";"Germany";"DE";"air";"major sources";"outside agglomerations";"Berlin Schonefeld Airport";"12600";"800";"3229";"147";"0";"0";"0";"36";"1";"0";"0";"2";"location specific";"Berlin Schonefeld Airport"
"END";"2022";"Germany";"DE";"air";"major sources";"outside agglomerations";"Cologne Bonn Airport";"64600";"45100";"17510";"8693";"4";"3";"1";"193";"87";"2";"2";"56";"location specific";"Köln Bonn Airport"
"END";"2022";"Germany";"DE";"air";"major sources";"outside agglomerations";"Dusseldorf Internatinal Airport";"43700";"9000";"12470";"1749";"1";"1";"0";"137";"17";"1";"1";"24";"location specific";"Dusseldorf Internatinal Airport"
"END";"2022";"Germany";"DE";"air";"major sources";"outside agglomerations";"Frankfurt  am Main Airport";"164900";"41400";"43910";"7743";"23";"18";"7";"483";"77";"12";"12";"371";"location specific";"Frankfurt  am Main Airport"
"END";"2022";"Germany";"DE";"air";"major sources";"outside agglomerations";"Hamburg  Airport";"11200";"200";"2910";"37";"0";"0";"0";"32";"0";"0";"0";"2";"location specific";"Hamburg  Airport"
"END";"2022";"Germany";"DE";"air";"major sources";"outside agglomerations";"Hanover Langenhagen Airport";"27100";"17200";"7370";"3264";"1";"0";"0";"81";"33";"0";"0";"10";"location specific";"Hannover Langenhagen Airport"
"END";"2022";"Germany";"DE";"air";"major sources";"outside agglomerations";"Leipzig/Halle Airport";"24500";"22000";"6617";"4236";"1";"0";"0";"73";"42";"0";"0";"8";"location specific";"Leipzig/Halle (Saale) Airport"
"END";"2022";"Germany";"DE";"air";"major sources";"outside agglomerations";"Munich Airport";"2000";"100";"515";"18";"0";"0";"0";"6";"0";"0";"0";"0";"location specific";"München Airport"
"END";"2022";"Germany";"DE";"air";"major sources";"outside agglomerations";"Stuttgart  Airport";"27100";"5400";"7288";"1006";"1";"0";"0";"80";"10";"0";"0";"10";"location specific";"Stuttgart  Airport"
"END";"2022";"Germany";"DE";"air";"different sources";"inside agglomerations";"Bergisch Gladbach";"2900";"1300";"736";"239";"1";"1";"0";"8";"2";"0";"0";"14";"location specific";"Bergisch Gladbach"
"END";"2022";"Germany";"DE";"air";"different sources";"inside agglomerations";"Berlin";"8800";"1300";"2271";"239";"3";"2";"1";"25";"2";"1";"1";"42";"location specific";"Berlin"
"END";"2022";"Germany";"DE";"air";"different sources";"inside agglomerations";"Bremen";"10700";"100";"2732";"18";"3";"3";"1";"30";"0";"2";"2";"50";"location specific";"Bremen"
"END";"2022";"Germany";"DE";"air";"different sources";"inside agglomerations";"Brunswick";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"location specific";"Braunschweig"
"END";"2022";"Germany";"DE";"air";"different sources";"inside agglomerations";"Cologne";"103400";"71700";"27736";"13626";"33";"26";"10";"305";"136";"18";"17";"531";"location specific";"Köln"
"END";"2022";"Germany";"DE";"air";"different sources";"inside agglomerations";"Darmstadt";"27000";"0";"6982";"0";"10";"8";"3";"77";"0";"5";"5";"159";"location specific";"Darmstadt"
"END";"2022";"Germany";"DE";"air";"different sources";"inside agglomerations";"Dortmund";"1300";"100";"330";"18";"0";"0";"0";"4";"0";"0";"0";"6";"location specific";"Dortmund"
"END";"2022";"Germany";"DE";"air";"different sources";"inside agglomerations";"Dresden";"1900";"0";"490";"0";"1";"0";"0";"5";"0";"0";"0";"9";"location specific";"Dresden"
"END";"2022";"Germany";"DE";"air";"different sources";"inside agglomerations";"Duesseldorf";"7200";"800";"2265";"193";"3";"2";"1";"25";"2";"1";"1";"44";"location specific";"Düsseldorf"
"END";"2022";"Germany";"DE";"air";"different sources";"inside agglomerations";"Essen";"24200";"5800";"6145";"1065";"7";"6";"2";"68";"11";"4";"4";"113";"location specific";"Essen"
"END";"2022";"Germany";"DE";"air";"different sources";"inside agglomerations";"Frankfurt on the Main";"39200";"2800";"10224";"514";"12";"9";"4";"112";"5";"6";"6";"188";"location specific";"Frankfurt am Main"
"END";"2022";"Germany";"DE";"air";"different sources";"inside agglomerations";"Fuerth";"3100";"800";"787";"147";"1";"1";"0";"9";"1";"0";"0";"14";"location specific";"Fürth"
"END";"2022";"Germany";"DE";"air";"different sources";"inside agglomerations";"Halle";"500";"300";"127";"55";"0";"0";"0";"1";"1";"0";"0";"2";"location specific";"Halle (Saale)"
"END";"2022";"Germany";"DE";"air";"different sources";"inside agglomerations";"Hamburg";"65500";"7600";"18115";"1480";"21";"17";"6";"199";"15";"11";"11";"335";"location specific";"Hamburg"
"END";"2022";"Germany";"DE";"air";"different sources";"inside agglomerations";"Hanau";"31500";"0";"8047";"0";"14";"12";"4";"89";"0";"8";"7";"230";"location specific";"Hanau"
"END";"2022";"Germany";"DE";"air";"different sources";"inside agglomerations";"Hanover";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"location specific";"Hannover"
"END";"2022";"Germany";"DE";"air";"different sources";"inside agglomerations";"Leipzig";"1600";"1400";"475";"272";"1";"0";"0";"5";"3";"0";"0";"10";"location specific";"Leipzig"
"END";"2022";"Germany";"DE";"air";"different sources";"inside agglomerations";"Ludwigshafen";"100";"0";"25";"0";"0";"0";"0";"0";"0";"0";"0";"0";"location specific";"Ludwigshafen am Rhein"
"END";"2022";"Germany";"DE";"air";"different sources";"inside agglomerations";"Mainz";"25800";"0";"6637";"0";"9";"7";"3";"73";"0";"5";"4";"137";"location specific";"Mainz"
"END";"2022";"Germany";"DE";"air";"different sources";"inside agglomerations";"Mannheim";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"location specific";"Mannheim"
"END";"2022";"Germany";"DE";"air";"different sources";"inside agglomerations";"Muelheim on the Ruhr";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"location specific";"Mülheim an der Ruhr"
"END";"2022";"Germany";"DE";"air";"different sources";"inside agglomerations";"Neuss";"8900";"0";"2260";"0";"3";"2";"1";"25";"0";"1";"1";"42";"location specific";"Neuss"
"END";"2022";"Germany";"DE";"air";"different sources";"inside agglomerations";"Nuremberg";"800";"200";"210";"37";"0";"0";"0";"2";"0";"0";"0";"4";"location specific";"Nürnberg"
"END";"2022";"Germany";"DE";"air";"different sources";"inside agglomerations";"Offenbach on the Main";"110400";"38200";"29601";"7069";"75";"60";"23";"326";"71";"40";"38";"1200";"location specific";"Offenbach am Main"
"END";"2022";"Germany";"DE";"air";"different sources";"inside agglomerations";"Stuttgart";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"location specific";"Stuttgart"
"END";"2022";"Germany";"DE";"air";"different sources";"inside agglomerations";"Wiesbaden";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"location specific";"Wiesbaden"
"END";"2022";"Germany";"DE";"road";"different sources";"inside agglomerations";"Aachen";"102600";"77000";"17579";"4772";"68";"54";"21";"193";"48";"36";"35";"1087";"location specific";"Aachen"
"END";"2022";"Germany";"DE";"road";"different sources";"inside agglomerations";"Augsburg";"106900";"74000";"17349";"4333";"64";"52";"20";"191";"43";"34";"33";"1035";"location specific";"Augsburg"
"END";"2022";"Germany";"DE";"road";"different sources";"inside agglomerations";"Bergisch Gladbach";"44800";"27800";"6750";"1484";"27";"22";"8";"74";"15";"14";"14";"437";"location specific";"Bergisch Gladbach"
"END";"2022";"Germany";"DE";"road";"different sources";"inside agglomerations";"Berlin";"1172900";"941900";"188921";"56502";"680";"546";"207";"2078";"565";"361";"350";"10909";"location specific";"Berlin"
"END";"2022";"Germany";"DE";"road";"different sources";"inside agglomerations";"Bielefeld";"176200";"120300";"26237";"6530";"120";"96";"36";"289";"65";"64";"62";"1919";"location specific";"Bielefeld"
"END";"2022";"Germany";"DE";"road";"different sources";"inside agglomerations";"Bochum";"196800";"121900";"28642";"6471";"132";"106";"40";"315";"65";"70";"68";"2122";"location specific";"Bochum"
"END";"2022";"Germany";"DE";"road";"different sources";"inside agglomerations";"Bonn";"182000";"139900";"30211";"8331";"134";"108";"41";"332";"83";"72";"69";"2153";"location specific";"Bonn"
"END";"2022";"Germany";"DE";"road";"different sources";"inside agglomerations";"Bottrop";"73900";"51300";"11674";"2832";"57";"46";"17";"128";"28";"30";"29";"912";"location specific";"Bottrop"
"END";"2022";"Germany";"DE";"road";"different sources";"inside agglomerations";"Bremen";"302000";"228900";"45344";"12945";"208";"167";"63";"499";"129";"111";"107";"3336";"location specific";"Bremen"
"END";"2022";"Germany";"DE";"road";"different sources";"inside agglomerations";"Bremerhaven";"54600";"34600";"8358";"1930";"36";"29";"11";"92";"19";"19";"18";"571";"location specific";"Bremerhaven"
"END";"2022";"Germany";"DE";"road";"different sources";"inside agglomerations";"Brunswick";"111500";"68900";"16545";"3753";"70";"56";"21";"182";"38";"37";"36";"1122";"location specific";"Braunschweig"
"END";"2022";"Germany";"DE";"road";"different sources";"inside agglomerations";"Chemnitz";"77300";"52300";"12095";"2940";"50";"40";"15";"133";"29";"27";"26";"801";"location specific";"Chemnitz"
"END";"2022";"Germany";"DE";"road";"different sources";"inside agglomerations";"Cologne";"544200";"417100";"93024";"25935";"391";"315";"119";"1023";"259";"208";"201";"6277";"location specific";"Köln"
"END";"2022";"Germany";"DE";"road";"different sources";"inside agglomerations";"Darmstadt";"59700";"42800";"9907";"2606";"37";"29";"11";"109";"26";"20";"19";"589";"location specific";"Darmstadt"
"END";"2022";"Germany";"DE";"road";"different sources";"inside agglomerations";"Dortmund";"303900";"203800";"46830";"11331";"205";"165";"62";"515";"113";"109";"106";"3292";"location specific";"Dortmund"
"END";"2022";"Germany";"DE";"road";"different sources";"inside agglomerations";"Dresden";"163000";"117500";"23912";"6057";"88";"71";"27";"263";"61";"47";"45";"1416";"location specific";"Dresden"
"END";"2022";"Germany";"DE";"road";"different sources";"inside agglomerations";"Duesseldorf";"485500";"358400";"80386";"21186";"422";"341";"128";"884";"212";"226";"217";"6770";"location specific";"Düsseldorf"
"END";"2022";"Germany";"DE";"road";"different sources";"inside agglomerations";"Duisburg";"180900";"134800";"29818";"7864";"111";"89";"34";"328";"79";"59";"57";"1775";"location specific";"Duisburg"
"END";"2022";"Germany";"DE";"road";"different sources";"inside agglomerations";"Erlangen";"68900";"49500";"10338";"2697";"50";"40";"15";"114";"27";"27";"26";"804";"location specific";"Erlangen"
"END";"2022";"Germany";"DE";"road";"different sources";"inside agglomerations";"Essen";"248700";"186100";"45922";"12060";"173";"139";"53";"505";"121";"92";"89";"2783";"location specific";"Essen"
