"data_source";"noise_source";"metric";"bevoelkerung_different sources";"bevoelkerung_major sources";"exponierteGesamt_different sources";"exponierteGesamt_major sources";"AnzKartierteGemeinden_different sources";"AnzKartierteGemeinden_major sources";"bundesland_name"
"Bundesland";"road";"lden";"1628008";"4667009";"688104";"667358";"6";"419";"Hessen"
"Bundesland";"road";"lnight";"1628008";"4667009";"514053";"434819";"6";"419";"Hessen"
"Bundesland";"air";"lden";NA;"2088921";NA;"373191";NA;"35";"Hessen"
"Bundesland";"air";"lnight";NA;"2088921";NA;"82361";NA;"35";"Hessen"
"Bundesland";"industry";"lden";"1628008";NA;"6336";NA;"6";NA;"Hessen"
"Bundesland";"industry";"lnight";"1628008";NA;"4806";NA;"6";NA;"Hessen"
"Bundesland";"road";"lden";NA;"8131748";NA;"1426309";NA;"779";"Baden-Württemberg"
"Bundesland";"road";"lnight";NA;"8131748";NA;"842372";NA;"779";"Baden-Württemberg"
"Bundesland";"air";"lden";NA;"891726";NA;"27187";NA;"10";"Baden-Württemberg"
"Bundesland";"air";"lnight";NA;"891726";NA;"5398";NA;"10";"Baden-Württemberg"
"Bundesland";"road";"lden";NA;"5804498";NA;"815900";NA;"542";"Niedersachsen"
"Bundesland";"road";"lnight";NA;"5804498";NA;"523700";NA;"542";"Niedersachsen"
"EEA";"road";"lden";"462520";"462520";"143300";"72400";"2";"2";"Schleswig-Holstein"
"EEA";"road";"lnight";"462520";"462520";"97300";"44700";"2";"2";"Schleswig-Holstein"
"EEA";"air";"lden";"462520";"462520";"0";"0";"2";"2";"Schleswig-Holstein"
"EEA";"air";"lnight";"462520";"462520";"0";"0";"2";"2";"Schleswig-Holstein"
"EEA";"rail";"lden";"462520";"462520";"5500";"4100";"2";"2";"Schleswig-Holstein"
"EEA";"rail";"lnight";"462520";"462520";"3500";"3000";"2";"2";"Schleswig-Holstein"
"EEA";"industry";"lden";"462520";NA;"2600";NA;"2";NA;"Schleswig-Holstein"
"EEA";"industry";"lnight";"462520";NA;"1100";NA;"2";NA;"Schleswig-Holstein"
