"gemeinde_kennziffer";"l_untergrenze";"l_zentral";"metrik";"exponierte";"quelle";"kartierungsumfang";"datenquelle"
"06411000";"55";"57";"lden";"22107";"Straße";"all";"Bundesland"
"06411000";"60";"62";"lden";"14321";"Straße";"all";"Bundesland"
"06411000";"65";"67";"lden";"13137";"Straße";"all";"Bundesland"
"06411000";"70";"72";"lden";"9238";"Straße";"all";"Bundesland"
"06411000";"75";"77";"lden";"1013";"Straße";"all";"Bundesland"
"06411000";"50";"52";"lnight";"17072";"Straße";"all";"Bundesland"
"06411000";"55";"57";"lnight";"13978";"Straße";"all";"Bundesland"
"06411000";"60";"62";"lnight";"10199";"Straße";"all";"Bundesland"
"06411000";"65";"67";"lnight";"1547";"Straße";"all";"Bundesland"
"06411000";"70";"72";"lnight";"2";"Straße";"all";"Bundesland"
"06412000";"55";"57";"lden";"114848";"Straße";"all";"Bundesland"
"06412000";"60";"62";"lden";"88104";"Straße";"all";"Bundesland"
"06412000";"65";"67";"lden";"82236";"Straße";"all";"Bundesland"
"06412000";"70";"72";"lden";"32435";"Straße";"all";"Bundesland"
"06412000";"75";"77";"lden";"2425";"Straße";"all";"Bundesland"
"06412000";"50";"52";"lnight";"100125";"Straße";"all";"Bundesland"
"06412000";"55";"57";"lnight";"93586";"Straße";"all";"Bundesland"
"06412000";"60";"62";"lnight";"42424";"Straße";"all";"Bundesland"
"06412000";"65";"67";"lnight";"3822";"Straße";"all";"Bundesland"
"06412000";"70";"72";"lnight";"526";"Straße";"all";"Bundesland"
"06413000";"55";"57";"lden";"16806";"Straße";"all";"Bundesland"
"06413000";"60";"62";"lden";"9661";"Straße";"all";"Bundesland"
"06413000";"65";"67";"lden";"9580";"Straße";"all";"Bundesland"
"06413000";"70";"72";"lden";"10139";"Straße";"all";"Bundesland"
"06413000";"75";"77";"lden";"1982";"Straße";"all";"Bundesland"
"06413000";"50";"52";"lnight";"12257";"Straße";"all";"Bundesland"
"06413000";"55";"57";"lnight";"9764";"Straße";"all";"Bundesland"
"06413000";"60";"62";"lnight";"10819";"Straße";"all";"Bundesland"
"06413000";"65";"67";"lnight";"2721";"Straße";"all";"Bundesland"
"06413000";"70";"72";"lnight";"26";"Straße";"all";"Bundesland"
"06414000";"55";"57";"lden";"40091";"Straße";"all";"Bundesland"
"06414000";"60";"62";"lden";"30788";"Straße";"all";"Bundesland"
"06414000";"65";"67";"lden";"30173";"Straße";"all";"Bundesland"
"06414000";"70";"72";"lden";"21385";"Straße";"all";"Bundesland"
"06414000";"75";"77";"lden";"2261";"Straße";"all";"Bundesland"
"06414000";"50";"52";"lnight";"34759";"Straße";"all";"Bundesland"
"06414000";"55";"57";"lnight";"32191";"Straße";"all";"Bundesland"
"06414000";"60";"62";"lnight";"23622";"Straße";"all";"Bundesland"
"06414000";"65";"67";"lnight";"3961";"Straße";"all";"Bundesland"
"06414000";"70";"72";"lnight";"81";"Straße";"all";"Bundesland"
"06435014";"55";"57";"lden";"14240";"Straße";"all";"Bundesland"
"06435014";"60";"62";"lden";"10124";"Straße";"all";"Bundesland"
"06435014";"65";"67";"lden";"10219";"Straße";"all";"Bundesland"
"06435014";"70";"72";"lden";"3048";"Straße";"all";"Bundesland"
"06435014";"75";"77";"lden";"132";"Straße";"all";"Bundesland"
"06435014";"50";"52";"lnight";"11320";"Straße";"all";"Bundesland"
"06435014";"55";"57";"lnight";"11191";"Straße";"all";"Bundesland"
"06435014";"60";"62";"lnight";"3973";"Straße";"all";"Bundesland"
"06435014";"65";"67";"lnight";"236";"Straße";"all";"Bundesland"
"06435014";"70";"72";"lnight";"18";"Straße";"all";"Bundesland"
"06611000";"55";"57";"lden";"29593";"Straße";"all";"Bundesland"
"06611000";"60";"62";"lden";"28067";"Straße";"all";"Bundesland"
"06611000";"65";"67";"lden";"19859";"Straße";"all";"Bundesland"
"06611000";"70";"72";"lden";"14788";"Straße";"all";"Bundesland"
"06611000";"75";"77";"lden";"5304";"Straße";"all";"Bundesland"
"06611000";"50";"52";"lnight";"29619";"Straße";"all";"Bundesland"
"06611000";"55";"57";"lnight";"22098";"Straße";"all";"Bundesland"
"06611000";"60";"62";"lnight";"15455";"Straße";"all";"Bundesland"
"06611000";"65";"67";"lnight";"5944";"Straße";"all";"Bundesland"
"06611000";"70";"72";"lnight";"717";"Straße";"all";"Bundesland"
"06431001";"55";"57";"lden";"0";"Straße";"major";"Bundesland"
"06431001";"60";"62";"lden";"0";"Straße";"major";"Bundesland"
"06431001";"65";"67";"lden";"0";"Straße";"major";"Bundesland"
"06431001";"70";"72";"lden";"0";"Straße";"major";"Bundesland"
"06431001";"75";"77";"lden";"0";"Straße";"major";"Bundesland"
"06431001";"50";"52";"lnight";"0";"Straße";"major";"Bundesland"
"06431001";"55";"57";"lnight";"0";"Straße";"major";"Bundesland"
"06431001";"60";"62";"lnight";"0";"Straße";"major";"Bundesland"
"06431001";"65";"67";"lnight";"0";"Straße";"major";"Bundesland"
"06431001";"70";"72";"lnight";"0";"Straße";"major";"Bundesland"
"06431002";"55";"57";"lden";"4815";"Straße";"major";"Bundesland"
"06431002";"60";"62";"lden";"2441";"Straße";"major";"Bundesland"
"06431002";"65";"67";"lden";"1746";"Straße";"major";"Bundesland"
"06431002";"70";"72";"lden";"1183";"Straße";"major";"Bundesland"
"06431002";"75";"77";"lden";"98";"Straße";"major";"Bundesland"
"06431002";"50";"52";"lnight";"3480";"Straße";"major";"Bundesland"
"06431002";"55";"57";"lnight";"1973";"Straße";"major";"Bundesland"
"06431002";"60";"62";"lnight";"1465";"Straße";"major";"Bundesland"
"06431002";"65";"67";"lnight";"218";"Straße";"major";"Bundesland"
"06431002";"70";"72";"lnight";"0";"Straße";"major";"Bundesland"
"06431003";"55";"57";"lden";"32";"Straße";"major";"Bundesland"
"06431003";"60";"62";"lden";"31";"Straße";"major";"Bundesland"
"06431003";"65";"67";"lden";"25";"Straße";"major";"Bundesland"
"06431003";"70";"72";"lden";"16";"Straße";"major";"Bundesland"
"06431003";"75";"77";"lden";"0";"Straße";"major";"Bundesland"
"06431003";"50";"52";"lnight";"32";"Straße";"major";"Bundesland"
"06431003";"55";"57";"lnight";"30";"Straße";"major";"Bundesland"
"06431003";"60";"62";"lnight";"18";"Straße";"major";"Bundesland"
"06431003";"65";"67";"lnight";"0";"Straße";"major";"Bundesland"
"06431003";"70";"72";"lnight";"0";"Straße";"major";"Bundesland"
"06431004";"55";"57";"lden";"124";"Straße";"major";"Bundesland"
"06431004";"60";"62";"lden";"43";"Straße";"major";"Bundesland"
"06431004";"65";"67";"lden";"51";"Straße";"major";"Bundesland"
"06431004";"70";"72";"lden";"101";"Straße";"major";"Bundesland"
"06431004";"75";"77";"lden";"0";"Straße";"major";"Bundesland"
"06431004";"50";"52";"lnight";"59";"Straße";"major";"Bundesland"
"06431004";"55";"57";"lnight";"50";"Straße";"major";"Bundesland"
"06431004";"60";"62";"lnight";"104";"Straße";"major";"Bundesland"
"06431004";"65";"67";"lnight";"0";"Straße";"major";"Bundesland"
"06431004";"70";"72";"lnight";"0";"Straße";"major";"Bundesland"
"06431005";"55";"57";"lden";"940";"Straße";"major";"Bundesland"
"06431005";"60";"62";"lden";"490";"Straße";"major";"Bundesland"
