"name_stadt_gemeinde";"country";"l_untergrenze";"exponierte";"l_zentral";"metrik";"quelle";"kartierungsumfang";"datenquelle";"iso_code";"nuts_code";"nuts_level";"country_order";"number"
"Graz";"Austria";"55";"53300";"57";"lden";"Straße";"all";"EEA";"AT";"AT221";"3";"20";"1258"
"Graz";"Austria";"60";"38700";"62";"lden";"Straße";"all";"EEA";"AT";"AT221";"3";"20";"1258"
"Graz";"Austria";"65";"27700";"67";"lden";"Straße";"all";"EEA";"AT";"AT221";"3";"20";"1258"
"Graz";"Austria";"70";"20100";"72";"lden";"Straße";"all";"EEA";"AT";"AT221";"3";"20";"1258"
"Graz";"Austria";"75";"1900";"77";"lden";"Straße";"all";"EEA";"AT";"AT221";"3";"20";"1258"
"Graz";"Austria";"50";"40600";"52";"lnight";"Straße";"all";"EEA";"AT";"AT221";"3";"20";"1258"
"Graz";"Austria";"55";"30900";"57";"lnight";"Straße";"all";"EEA";"AT";"AT221";"3";"20";"1258"
"Graz";"Austria";"60";"25900";"62";"lnight";"Straße";"all";"EEA";"AT";"AT221";"3";"20";"1258"
"Graz";"Austria";"65";"7300";"67";"lnight";"Straße";"all";"EEA";"AT";"AT221";"3";"20";"1258"
"Graz";"Austria";"70";"0";"72";"lnight";"Straße";"all";"EEA";"AT";"AT221";"3";"20";"1258"
"Innsbruck";"Austria";"55";"33600";"57";"lden";"Straße";"all";"EEA";"AT";"AT332";"3";"20";"1277"
"Innsbruck";"Austria";"60";"23700";"62";"lden";"Straße";"all";"EEA";"AT";"AT332";"3";"20";"1277"
"Innsbruck";"Austria";"65";"15000";"67";"lden";"Straße";"all";"EEA";"AT";"AT332";"3";"20";"1277"
"Innsbruck";"Austria";"70";"4400";"72";"lden";"Straße";"all";"EEA";"AT";"AT332";"3";"20";"1277"
"Innsbruck";"Austria";"75";"0";"77";"lden";"Straße";"all";"EEA";"AT";"AT332";"3";"20";"1277"
