bundesland_code;noise_source;mapping_extend;agglomeration;pfad;tabellenblatt;spaltennamen;zeilen_weglassen;zeilen_gesamt;geoschluessel_stellen;data_source;is_location_specific
6;road;different sources;inside agglomerations;data/Expositionsdaten/raw/HE_ULK2022StatistikGesamt_20240704.xlsx;Straßenlärm;data/Expositionsdaten/raw/ColNamesStr_HE_ULK2022StatistikGesamt_20240704.txt;2;6;6;Bundesland;TRUE
6;road;major sources;outside agglomerations;data/Expositionsdaten/raw/HE_ULK2022StatistikGesamt_20240704.xlsx;Straßenlärm;data/Expositionsdaten/raw/ColNamesStr_HE_ULK2022StatistikGesamt_20240704.txt;8;419;6;Bundesland;TRUE
6;air;major sources;inside agglomerations;data/Expositionsdaten/raw/HE_ULK2022StatistikGesamt_20240704.xlsx;Fluglärm;data/Expositionsdaten/raw/ColNamesFlug_HE_ULK2022StatistikGesamt_20240704.txt;2;5;6;Bundesland;TRUE
6;air;major sources;outside agglomerations;data/Expositionsdaten/raw/HE_ULK2022StatistikGesamt_20240704.xlsx;Fluglärm;data/Expositionsdaten/raw/ColNamesFlug_HE_ULK2022StatistikGesamt_20240704.txt;7;30;6;Bundesland;TRUE
6;industry;different sources;inside agglomerations;data/Expositionsdaten/raw/HE_ULK2022StatistikGesamt_20240704.xlsx;Industrielärm;data/Expositionsdaten/raw/ColNamesInd_HE_ULK2022StatistikGesamt_20240704.txt;2;6;6;Bundesland;TRUE
8;road;major sources;outside agglomerations;data/Expositionsdaten/raw/BW_Belastungsstatistik_2022.xlsx;Hauptverkehrsstraßen;data/Expositionsdaten/raw/ColNamesStr_BW_Belastungsstatistik_2022.txt;4;779;7;Bundesland;TRUE
8;air;major sources;outside agglomerations;data/Expositionsdaten/raw/BW_Belastungsstatistik_2022.xlsx;Flughafen Stuttgart;data/Expositionsdaten/raw/ColNamesFlug_BW_Belastungsstatistik_2022.txt;4;9;7;Bundesland;TRUE
8;air;major sources;inside agglomerations;data/Expositionsdaten/raw/BW_Belastungsstatistik_2022.xlsx;Flughafen Stuttgart;data/Expositionsdaten/raw/ColNamesFlug_BW_Belastungsstatistik_2022.txt;13;1;7;Bundesland;TRUE
3;road;major sources;outside agglomerations;data/Expositionsdaten/raw/NS_2024-10-25_END422_Statistiken_Gemeinden_Ergebnisblatt_V4.xlsx;Tabelle1;data/Expositionsdaten/raw/ColNamesInd_NS_2024-10-25_END422_Statistiken_Gemeinden_Ergebnisblatt_V4.txt;5;542;8;Bundesland;TRUE
NA;road;different sources;inside agglomerations;data/Expositionsdaten/raw/EU_END_2022_cutoff241118_v4.xlsx;Aggl_Road_Data;data/Expositionsdaten/raw/ColNamesStr_EU_AggAll_END_2022_cutoff241118_v4.txt;6;435;NA;EEA;TRUE
NA;road;major sources;inside agglomerations;data/Expositionsdaten/raw/EU_END_2022_cutoff241118_v4.xlsx;Aggl_Road_Data;data/Expositionsdaten/raw/ColNamesStr_EU_AggMajor_END_2022_cutoff241118_v4.txt;6;435;NA;EEA;TRUE
NA;air;different sources;inside agglomerations;data/Expositionsdaten/raw/EU_END_2022_cutoff241118_v4.xlsx;Aggl_Air_Data;data/Expositionsdaten/raw/ColNamesFlug_EU_AggAll_END_2022_cutoff241118_v4.txt;6;435;NA;EEA;TRUE
NA;air;major sources;inside agglomerations;data/Expositionsdaten/raw/EU_END_2022_cutoff241118_v4.xlsx;Aggl_Air_Data;data/Expositionsdaten/raw/ColNamesFlug_EU_AggMajor_END_2022_cutoff241118_v4.txt;6;435;NA;EEA;TRUE
NA;rail;different sources;inside agglomerations;data/Expositionsdaten/raw/EU_END_2022_cutoff241118_v4.xlsx;Aggl_Rail_Data;data/Expositionsdaten/raw/ColNamesSch_EU_AggAll_END_2022_cutoff241118_v4.txt;6;435;NA;EEA;TRUE
NA;rail;major sources;inside agglomerations;data/Expositionsdaten/raw/EU_END_2022_cutoff241118_v4.xlsx;Aggl_Rail_Data;data/Expositionsdaten/raw/ColNamesSch_EU_AggMajor_END_2022_cutoff241118_v4.txt;6;435;NA;EEA;TRUE
NA;industry;different sources;inside agglomerations;data/Expositionsdaten/raw/EU_END_2022_cutoff241118_v4.xlsx;Aggl_Ind_Data;data/Expositionsdaten/raw/ColNamesInd_EU_AggAll_END_2022_cutoff241118_v4.txt;6;435;NA;EEA;TRUE
NA;road;major sources;outside agglomerations;data/Expositionsdaten/raw/EU_END_2022_cutoff241118_v4.xlsx;MRoad_Data;data/Expositionsdaten/raw/ColNamesStr_EU_Major_END_2022_cutoff241118_v4.txt;6;32;NA;EEA;FALSE
NA;rail;major sources;outside agglomerations;data/Expositionsdaten/raw/EU_END_2022_cutoff241118_v4.xlsx;MRail_Data;data/Expositionsdaten/raw/ColNamesSch_EU_Major_END_2022_cutoff241118_v4.txt;6;32;NA;EEA;FALSE
