"gemeinde_kennziffer";"metrik";"l_untergrenze";"exponierte";"l_zentral";"quelle";"kartierungsumfang";"datenquelle"
"06411000";"lden";"55";"22107";"57";"Straße";"all";"Bundesland"
"06411000";"lden";"60";"14321";"62";"Straße";"all";"Bundesland"
"06411000";"lden";"65";"13137";"67";"Straße";"all";"Bundesland"
"06411000";"lden";"70";"9238";"72";"Straße";"all";"Bundesland"
"06411000";"lden";"75";"1013";"77";"Straße";"all";"Bundesland"
"06411000";"lnight";"50";"17072";"52";"Straße";"all";"Bundesland"
"06411000";"lnight";"55";"13978";"57";"Straße";"all";"Bundesland"
"06411000";"lnight";"60";"10199";"62";"Straße";"all";"Bundesland"
"06411000";"lnight";"65";"1547";"67";"Straße";"all";"Bundesland"
"06411000";"lnight";"70";"2";"72";"Straße";"all";"Bundesland"
"06412000";"lden";"55";"114848";"57";"Straße";"all";"Bundesland"
"06412000";"lden";"60";"88104";"62";"Straße";"all";"Bundesland"
"06412000";"lden";"65";"82236";"67";"Straße";"all";"Bundesland"
"06412000";"lden";"70";"32435";"72";"Straße";"all";"Bundesland"
"06412000";"lden";"75";"2425";"77";"Straße";"all";"Bundesland"
"06412000";"lnight";"50";"100125";"52";"Straße";"all";"Bundesland"
"06412000";"lnight";"55";"93586";"57";"Straße";"all";"Bundesland"
"06412000";"lnight";"60";"42424";"62";"Straße";"all";"Bundesland"
"06412000";"lnight";"65";"3822";"67";"Straße";"all";"Bundesland"
"06412000";"lnight";"70";"526";"72";"Straße";"all";"Bundesland"
"06413000";"lden";"55";"16806";"57";"Straße";"all";"Bundesland"
"06413000";"lden";"60";"9661";"62";"Straße";"all";"Bundesland"
"06413000";"lden";"65";"9580";"67";"Straße";"all";"Bundesland"
"06413000";"lden";"70";"10139";"72";"Straße";"all";"Bundesland"
"06413000";"lden";"75";"1982";"77";"Straße";"all";"Bundesland"
"06413000";"lnight";"50";"12257";"52";"Straße";"all";"Bundesland"
"06413000";"lnight";"55";"9764";"57";"Straße";"all";"Bundesland"
"06413000";"lnight";"60";"10819";"62";"Straße";"all";"Bundesland"
"06413000";"lnight";"65";"2721";"67";"Straße";"all";"Bundesland"
"06413000";"lnight";"70";"26";"72";"Straße";"all";"Bundesland"
"06414000";"lden";"55";"40091";"57";"Straße";"all";"Bundesland"
"06414000";"lden";"60";"30788";"62";"Straße";"all";"Bundesland"
"06414000";"lden";"65";"30173";"67";"Straße";"all";"Bundesland"
"06414000";"lden";"70";"21385";"72";"Straße";"all";"Bundesland"
"06414000";"lden";"75";"2261";"77";"Straße";"all";"Bundesland"
"06414000";"lnight";"50";"34759";"52";"Straße";"all";"Bundesland"
"06414000";"lnight";"55";"32191";"57";"Straße";"all";"Bundesland"
"06414000";"lnight";"60";"23622";"62";"Straße";"all";"Bundesland"
"06414000";"lnight";"65";"3961";"67";"Straße";"all";"Bundesland"
"06414000";"lnight";"70";"81";"72";"Straße";"all";"Bundesland"
"06435014";"lden";"55";"14240";"57";"Straße";"all";"Bundesland"
"06435014";"lden";"60";"10124";"62";"Straße";"all";"Bundesland"
"06435014";"lden";"65";"10219";"67";"Straße";"all";"Bundesland"
"06435014";"lden";"70";"3048";"72";"Straße";"all";"Bundesland"
"06435014";"lden";"75";"132";"77";"Straße";"all";"Bundesland"
"06435014";"lnight";"50";"11320";"52";"Straße";"all";"Bundesland"
"06435014";"lnight";"55";"11191";"57";"Straße";"all";"Bundesland"
"06435014";"lnight";"60";"3973";"62";"Straße";"all";"Bundesland"
"06435014";"lnight";"65";"236";"67";"Straße";"all";"Bundesland"
"06435014";"lnight";"70";"18";"72";"Straße";"all";"Bundesland"
"06611000";"lden";"55";"29593";"57";"Straße";"all";"Bundesland"
"06611000";"lden";"60";"28067";"62";"Straße";"all";"Bundesland"
"06611000";"lden";"65";"19859";"67";"Straße";"all";"Bundesland"
"06611000";"lden";"70";"14788";"72";"Straße";"all";"Bundesland"
"06611000";"lden";"75";"5304";"77";"Straße";"all";"Bundesland"
"06611000";"lnight";"50";"29619";"52";"Straße";"all";"Bundesland"
"06611000";"lnight";"55";"22098";"57";"Straße";"all";"Bundesland"
"06611000";"lnight";"60";"15455";"62";"Straße";"all";"Bundesland"
"06611000";"lnight";"65";"5944";"67";"Straße";"all";"Bundesland"
"06611000";"lnight";"70";"717";"72";"Straße";"all";"Bundesland"
"06431001";"lden";"55";"0";"57";"Straße";"major";"Bundesland"
"06431001";"lden";"60";"0";"62";"Straße";"major";"Bundesland"
"06431001";"lden";"65";"0";"67";"Straße";"major";"Bundesland"
"06431001";"lden";"70";"0";"72";"Straße";"major";"Bundesland"
"06431001";"lden";"75";"0";"77";"Straße";"major";"Bundesland"
"06431001";"lnight";"50";"0";"52";"Straße";"major";"Bundesland"
"06431001";"lnight";"55";"0";"57";"Straße";"major";"Bundesland"
"06431001";"lnight";"60";"0";"62";"Straße";"major";"Bundesland"
"06431001";"lnight";"65";"0";"67";"Straße";"major";"Bundesland"
"06431001";"lnight";"70";"0";"72";"Straße";"major";"Bundesland"
"06431002";"lden";"55";"4815";"57";"Straße";"major";"Bundesland"
"06431002";"lden";"60";"2441";"62";"Straße";"major";"Bundesland"
"06431002";"lden";"65";"1746";"67";"Straße";"major";"Bundesland"
"06431002";"lden";"70";"1183";"72";"Straße";"major";"Bundesland"
"06431002";"lden";"75";"98";"77";"Straße";"major";"Bundesland"
"06431002";"lnight";"50";"3480";"52";"Straße";"major";"Bundesland"
"06431002";"lnight";"55";"1973";"57";"Straße";"major";"Bundesland"
"06431002";"lnight";"60";"1465";"62";"Straße";"major";"Bundesland"
"06431002";"lnight";"65";"218";"67";"Straße";"major";"Bundesland"
"06431002";"lnight";"70";"0";"72";"Straße";"major";"Bundesland"
"06431003";"lden";"55";"32";"57";"Straße";"major";"Bundesland"
"06431003";"lden";"60";"31";"62";"Straße";"major";"Bundesland"
"06431003";"lden";"65";"25";"67";"Straße";"major";"Bundesland"
"06431003";"lden";"70";"16";"72";"Straße";"major";"Bundesland"
"06431003";"lden";"75";"0";"77";"Straße";"major";"Bundesland"
"06431003";"lnight";"50";"32";"52";"Straße";"major";"Bundesland"
"06431003";"lnight";"55";"30";"57";"Straße";"major";"Bundesland"
"06431003";"lnight";"60";"18";"62";"Straße";"major";"Bundesland"
"06431003";"lnight";"65";"0";"67";"Straße";"major";"Bundesland"
"06431003";"lnight";"70";"0";"72";"Straße";"major";"Bundesland"
"06431004";"lden";"55";"124";"57";"Straße";"major";"Bundesland"
"06431004";"lden";"60";"43";"62";"Straße";"major";"Bundesland"
"06431004";"lden";"65";"51";"67";"Straße";"major";"Bundesland"
"06431004";"lden";"70";"101";"72";"Straße";"major";"Bundesland"
"06431004";"lden";"75";"0";"77";"Straße";"major";"Bundesland"
"06431004";"lnight";"50";"59";"52";"Straße";"major";"Bundesland"
"06431004";"lnight";"55";"50";"57";"Straße";"major";"Bundesland"
"06431004";"lnight";"60";"104";"62";"Straße";"major";"Bundesland"
"06431004";"lnight";"65";"0";"67";"Straße";"major";"Bundesland"
"06431004";"lnight";"70";"0";"72";"Straße";"major";"Bundesland"
"06431005";"lden";"55";"940";"57";"Straße";"major";"Bundesland"
"06431005";"lden";"60";"490";"62";"Straße";"major";"Bundesland"
"06431005";"lden";"65";"220";"67";"Straße";"major";"Bundesland"
"06431005";"lden";"70";"97";"72";"Straße";"major";"Bundesland"
"06431005";"lden";"75";"0";"77";"Straße";"major";"Bundesland"
"06431005";"lnight";"50";"639";"52";"Straße";"major";"Bundesland"
"06431005";"lnight";"55";"245";"57";"Straße";"major";"Bundesland"
"06431005";"lnight";"60";"146";"62";"Straße";"major";"Bundesland"
"06431005";"lnight";"65";"0";"67";"Straße";"major";"Bundesland"
"06431005";"lnight";"70";"0";"72";"Straße";"major";"Bundesland"
"06431006";"lden";"55";"1178";"57";"Straße";"major";"Bundesland"
"06431006";"lden";"60";"379";"62";"Straße";"major";"Bundesland"
"06431006";"lden";"65";"118";"67";"Straße";"major";"Bundesland"
"06431006";"lden";"70";"18";"72";"Straße";"major";"Bundesland"
"06431006";"lden";"75";"2";"77";"Straße";"major";"Bundesland"
"06431006";"lnight";"50";"756";"52";"Straße";"major";"Bundesland"
"06431006";"lnight";"55";"234";"57";"Straße";"major";"Bundesland"
"06431006";"lnight";"60";"43";"62";"Straße";"major";"Bundesland"
"06431006";"lnight";"65";"3";"67";"Straße";"major";"Bundesland"
"06431006";"lnight";"70";"0";"72";"Straße";"major";"Bundesland"
"06431007";"lden";"55";"441";"57";"Straße";"major";"Bundesland"
"06431007";"lden";"60";"207";"62";"Straße";"major";"Bundesland"
"06431007";"lden";"65";"179";"67";"Straße";"major";"Bundesland"
"06431007";"lden";"70";"201";"72";"Straße";"major";"Bundesland"
"06431007";"lden";"75";"43";"77";"Straße";"major";"Bundesland"
"06431007";"lnight";"50";"236";"52";"Straße";"major";"Bundesland"
"06431007";"lnight";"55";"183";"57";"Straße";"major";"Bundesland"
"06431007";"lnight";"60";"190";"62";"Straße";"major";"Bundesland"
"06431007";"lnight";"65";"88";"67";"Straße";"major";"Bundesland"
"06431007";"lnight";"70";"0";"72";"Straße";"major";"Bundesland"
"06431008";"lden";"55";"0";"57";"Straße";"major";"Bundesland"
"06431008";"lden";"60";"0";"62";"Straße";"major";"Bundesland"
"06431008";"lden";"65";"0";"67";"Straße";"major";"Bundesland"
"06431008";"lden";"70";"0";"72";"Straße";"major";"Bundesland"
"06431008";"lden";"75";"0";"77";"Straße";"major";"Bundesland"
"06431008";"lnight";"50";"0";"52";"Straße";"major";"Bundesland"
"06431008";"lnight";"55";"0";"57";"Straße";"major";"Bundesland"
"06431008";"lnight";"60";"0";"62";"Straße";"major";"Bundesland"
"06431008";"lnight";"65";"0";"67";"Straße";"major";"Bundesland"
"06431008";"lnight";"70";"0";"72";"Straße";"major";"Bundesland"
"06431009";"lden";"55";"0";"57";"Straße";"major";"Bundesland"
"06431009";"lden";"60";"0";"62";"Straße";"major";"Bundesland"
"06431009";"lden";"65";"0";"67";"Straße";"major";"Bundesland"
"06431009";"lden";"70";"0";"72";"Straße";"major";"Bundesland"
"06431009";"lden";"75";"0";"77";"Straße";"major";"Bundesland"
"06431009";"lnight";"50";"0";"52";"Straße";"major";"Bundesland"
"06431009";"lnight";"55";"0";"57";"Straße";"major";"Bundesland"
"06431009";"lnight";"60";"0";"62";"Straße";"major";"Bundesland"
"06431009";"lnight";"65";"0";"67";"Straße";"major";"Bundesland"
"06431009";"lnight";"70";"0";"72";"Straße";"major";"Bundesland"
"06431010";"lden";"55";"67";"57";"Straße";"major";"Bundesland"
"06431010";"lden";"60";"0";"62";"Straße";"major";"Bundesland"
"06431010";"lden";"65";"0";"67";"Straße";"major";"Bundesland"
"06431010";"lden";"70";"0";"72";"Straße";"major";"Bundesland"
"06431010";"lden";"75";"0";"77";"Straße";"major";"Bundesland"
"06431010";"lnight";"50";"2";"52";"Straße";"major";"Bundesland"
"06431010";"lnight";"55";"0";"57";"Straße";"major";"Bundesland"
"06431010";"lnight";"60";"0";"62";"Straße";"major";"Bundesland"
"06431010";"lnight";"65";"0";"67";"Straße";"major";"Bundesland"
"06431010";"lnight";"70";"0";"72";"Straße";"major";"Bundesland"
"06431011";"lden";"55";"2643";"57";"Straße";"major";"Bundesland"
"06431011";"lden";"60";"1626";"62";"Straße";"major";"Bundesland"
"06431011";"lden";"65";"1207";"67";"Straße";"major";"Bundesland"
"06431011";"lden";"70";"835";"72";"Straße";"major";"Bundesland"
"06431011";"lden";"75";"151";"77";"Straße";"major";"Bundesland"
"06431011";"lnight";"50";"2163";"52";"Straße";"major";"Bundesland"
"06431011";"lnight";"55";"1261";"57";"Straße";"major";"Bundesland"
"06431011";"lnight";"60";"956";"62";"Straße";"major";"Bundesland"
"06431011";"lnight";"65";"238";"67";"Straße";"major";"Bundesland"
"06431011";"lnight";"70";"0";"72";"Straße";"major";"Bundesland"
"06431012";"lden";"55";"0";"57";"Straße";"major";"Bundesland"
"06431012";"lden";"60";"0";"62";"Straße";"major";"Bundesland"
"06431012";"lden";"65";"0";"67";"Straße";"major";"Bundesland"
"06431012";"lden";"70";"0";"72";"Straße";"major";"Bundesland"
"06431012";"lden";"75";"0";"77";"Straße";"major";"Bundesland"
"06431012";"lnight";"50";"0";"52";"Straße";"major";"Bundesland"
"06431012";"lnight";"55";"0";"57";"Straße";"major";"Bundesland"
"06431012";"lnight";"60";"0";"62";"Straße";"major";"Bundesland"
"06431012";"lnight";"65";"0";"67";"Straße";"major";"Bundesland"
"06431012";"lnight";"70";"0";"72";"Straße";"major";"Bundesland"
