Country;EU;Agglomeration;Nr of inhabitants
Austria;EU27;Graz;291000
Austria;EU27;Innsbruck;144200
Austria;EU27;Linz;260300
Austria;EU27;Salzburg;155000
Austria;EU27;Vienna;1977300
Belgium;EU27;Antwerp;530630
Belgium;EU27;Bruges;118509
Belgium;EU27;Brussels;1222637
Belgium;EU27;Charleroi;202421
Belgium;EU27;Ghent;265086
Belgium;EU27;Leuven;102236
Belgium;EU27;Liege;195278
Bulgaria;EU27;Burgas;348668
Bulgaria;EU27;Pleven;102955
Bulgaria;EU27;Plovdiv;364403
Bulgaria;EU27;Ruse;143325
Bulgaria;EU27;Sofia;1280034
Bulgaria;EU27;Stara Zagora;136144
Bulgaria;EU27;Varna;210813
Croatia;EU27;Rijeka;107964
Croatia;EU27;Split;160577
Croatia;EU27;Zagreb;767131
Cyprus;EU27;Larnaca;99649
Cyprus;EU27;Limassol;200431
Cyprus;EU27;Nicosia;254995
Cyprus;EU27;Pafos;50461
Czech Republic;EU27;Brno;443880
Czech Republic;EU27;Liberec;164645
Czech Republic;EU27;Olomouc;109514
Czech Republic;EU27;Ostrava;428269
Czech Republic;EU27;Plzen;191279
Czech Republic;EU27;Prague;1442378
Czech Republic;EU27;Teplice;171348
Denmark;EU27;Aalborg;138581
Denmark;EU27;Aarhus;251047
Denmark;EU27;Copenhagen;1254256
Denmark;EU27;Odense;196695
Estonia;EU27;Tallinn;444970
Estonia;EU27;Tartu;95389
Finland;EU27;Espoo;289761
Finland;EU27;Helsinki;653835
Finland;EU27;Jyvaskyla;142400
Finland;EU27;Kauniainen;9797
Finland;EU27;Kuopio;119235
Finland;EU27;Lahti;119875
Finland;EU27;Oulu;205489
Finland;EU27;Tampere;239269
Finland;EU27;Turku;192962
Finland;EU27;Vantaa;233775
France;EU27;Angers;283200
France;EU27;Arras;110200
France;EU27;Aubergenville;411100
France;EU27;Beauchamp;270700
France;EU27;Besancon;198250
France;EU27;Bordeaux;774900
France;EU27;Brest;213000
France;EU27;Brunoy;177800
France;EU27;Caen;268900
France;EU27;Cannes;160800
France;EU27;Cergy;205700
France;EU27;Clermont-Ferrand;291800
France;EU27;Courcouronnes;347000
France;EU27;Dijon;256100
France;EU27;Dunkerque;203800
France;EU27;Grenoble;451800
France;EU27;Henin-Beaumont;125900
France;EU27;Le Havre;240300
France;EU27;Le Mans;210900
France;EU27;Le Pecq;341300
France;EU27;Lens;245000
France;EU27;Lille;1154100
France;EU27;Limoges;211508
France;EU27;Lyon;1375000
France;EU27;Marseille;1886800
France;EU27;Metz;220600
France;EU27;Montmorency;183100
France;EU27;Montpellier;457800
France;EU27;Nancy;260700
France;EU27;Nantes;636000
France;EU27;Nice;545000
France;EU27;Orleans;287100
France;EU27;Orsay;313800
France;EU27;Paris;7068800
France;EU27;Perpignan;268500
France;EU27;Poitiers;191100
France;EU27;Reims;299100
France;EU27;Rennes;444700
France;EU27;Roissy-en-France;349500
France;EU27;Rouen;499600
France;EU27;Saint-Etienne;408700
France;EU27;Sainte-Genevieve-des-Bois;196000
France;EU27;Strasbourg;491500
France;EU27;Torcy;228900
France;EU27;Toulon;434400
France;EU27;Toulouse;760100
France;EU27;Tours;299100
France;EU27;Trappes;231100
France;EU27;Versailles;269200
Germany;EU27;Aachen;246443
Germany;EU27;Augsburg;297052
Germany;EU27;Bergisch Gladbach;111600
Germany;EU27;Berlin;3606316
